"Feature","Gain","Cover","Frequency"
"APM_Thompson",0.161029996357169,0.117596065715121,0.106918238993711
"Bcells_Rooney",0.0891362220681053,0.0905463935007938,0.0943396226415094
"TIS_Damotte",0.063157743060906,0.0560921057385129,0.0566037735849057
"Macrophage_Danaher",0.059845889366754,0.0591846948643112,0.0628930817610063
"Cytotoxic-cells_Danaher",0.0513055185994986,0.0176667925827668,0.0125786163522013
"EMT3",0.049729106422608,0.0718442404496639,0.0817610062893082
"CD8_Tcells_Danaher",0.0488508429840646,0.0327138790304434,0.0251572327044025
"MHC-I_Liu",0.0401850975525419,0.0283837600976475,0.0188679245283019
"PDL1_Nishino",0.0349543964896417,0.0345351513393336,0.0251572327044025
"Base_excision_repair",0.0289150959544046,0.0582893702896907,0.0691823899371069
"CD8_Rooney",0.0288374884836424,0.0120181910335612,0.00628930817610063
"TMEscoreB_plus",0.0242268604196817,0.0310195211267804,0.0314465408805031
"IRG_Ayers",0.0239761035078494,0.0338682927930611,0.0314465408805031
"STAT1_Care",0.0224718520980004,0.0113346910854074,0.00628930817610063
"Co-Stimulation-Tcell_Rooney",0.0216431360321454,0.0320404120915658,0.0377358490566038
"IPSOV_Shen",0.0207441777736186,0.0302002225224601,0.0314465408805031
"Homologous_recombination",0.0194197168779803,0.0178332897696045,0.0188679245283019
"peri-Tcell_Hwang",0.0185391898250122,0.026337317293376,0.0251572327044025
"EMT2",0.0172100614095133,0.016681225503676,0.0188679245283019
"Teff-IFNG_Fehrenbacher",0.0171253863051034,0.0127395029774729,0.0125786163522013
"TypeI-IFNReponse_Rooney",0.0161750170784282,0.0258615060951424,0.0251572327044025
"IFN_Ayers",0.0137959592659684,0.0105677649454493,0.00628930817610063
"CYT_Davoli",0.0133102300768935,0.00807555365908973,0.00628930817610063
"proliferation_Pabla",0.0129716595232308,0.0179213577767703,0.0188679245283019
"M1_Hwang",0.012450721081982,0.0146857993517023,0.0125786163522013
"CIN25_Carter",0.0115515476473772,0.0165171800408908,0.0188679245283019
"CIN70_Carter",0.0114622107105801,0.0179043603117846,0.0188679245283019
"Tcells_Danaher",0.010160859915308,0.013825100397905,0.0125786163522013
"Bcell_Helmink",0.00909155519219931,0.015362487318858,0.0188679245283019
"Tcells_Bindea",0.00842240782877836,0.00548043407121134,0.00628930817610063
"SW480-cells_Bindea",0.0082419888487538,0.0160877921942743,0.0188679245283019
"CD39-CD8Tcell_Chow",0.00702404485131688,0.00904063108250375,0.0125786163522013
"APM_Wang",0.00642850097736411,0.00862357636083812,0.0125786163522013
"Response_Chen",0.00468757199615616,0.00418364574733177,0.00628930817610063
"IMPRES_Auslander",0.00435483299858263,0.00640258509853401,0.00628930817610063
"Co-Inhibition-Tcell_Rooney",0.00258575149785762,0.0044229803637011,0.00628930817610063
"Cytotoxic-cells_Bindea",0.00229748712062992,0.00441298720576986,0.00628930817610063
"TLS_Cabrita",0.00228211767160049,0.0051170647424596,0.00628930817610063
"CCL5-CXCL9_Dangaj",0.00140165412875235,0.00458207343053363,0.00628930817610063
