"Feature","Gain","Cover","Frequency"
"EMT2",0.222264973290923,0.120579244727605,0.101351351351351
"MHC-I_Rooney",0.0898243544610321,0.0675254151505197,0.0608108108108108
"proliferation_Pabla",0.0827128685129556,0.0693314331801578,0.0608108108108108
"Macrophage_Danaher",0.0741238367565239,0.0802831512436534,0.0810810810810811
"EMT3",0.0692563384325315,0.077281165518189,0.0743243243243243
"APM_Thompson",0.0615707757293368,0.0557600738332002,0.0540540540540541
"DNA_replication",0.0387283284945949,0.0345135475034355,0.0337837837837838
"Bcell_Helmink",0.0344266892330584,0.0282846042096278,0.027027027027027
"SW480-cells_Bindea",0.0338543109912548,0.0363517938891399,0.0405405405405405
"TMEscoreA_plus",0.0254451479051091,0.0457353701054795,0.0472972972972973
"PDL1_Nishino",0.0253222585219387,0.033396915966,0.0337837837837838
"MHC-I_Liu",0.0206530363442069,0.0240898211710525,0.027027027027027
"T-helper-cells_Bindea",0.0174160757946591,0.030108275190169,0.0337837837837838
"Cytotoxic-cells_Bindea",0.015609289387466,0.0161842885170862,0.0202702702702703
"TMEscoreB_plus",0.0155809682986647,0.0198749574946633,0.0202702702702703
"TypeI-IFNReponse_Rooney",0.0151572579451613,0.0209210631026889,0.0202702702702703
"Homologous_recombination",0.013550329505789,0.0234934666120605,0.027027027027027
"Base_excision_repair",0.0128446594591945,0.030231437363798,0.0337837837837838
"ImmunoScore_Hao",0.0127855602718734,0.00835722283532696,0.00675675675675676
"Bcells_Rooney",0.0119621482450541,0.0105774330314341,0.0135135135135135
"IPSOV_Shen",0.0118572838482187,0.0194744587820896,0.0202702702702703
"MHC-II_Liu",0.0105484153226118,0.0201811756167051,0.0202702702702703
"CellCycle",0.00959852045487292,0.0123538372263302,0.0135135135135135
"CD8_Rooney",0.00933780838540189,0.011260802527158,0.0135135135135135
"ICB-resistance_Peng",0.00881892618184394,0.0113538518673014,0.0135135135135135
"CCL5-CXCL9_Dangaj",0.00878859345685363,0.0073902949826025,0.00675675675675676
"TIS_Damotte",0.00683389052660139,0.00617161065908733,0.00675675675675676
"IMPRES_Auslander",0.00632362860225856,0.00615255006754229,0.00675675675675676
"Tcells_Danaher",0.00571846062574626,0.00561474720880599,0.00675675675675676
"M1_Hwang",0.00490465946147972,0.0115827124189942,0.0135135135135135
"CIN25_Carter",0.00486814304593565,0.00667321347989659,0.00675675675675676
"TLS_Cabrita",0.00405267027228683,0.00575728619992812,0.00675675675675676
"Tcells_Bindea",0.00377813671279051,0.0115595936911549,0.0135135135135135
"CD8_Tcells_Danaher",0.00361686319771745,0.00768991529683741,0.00675675675675676
"CIN70_Carter",0.00304921518583738,0.0128097874644069,0.0135135135135135
"IFN_Ayers",0.00290835041032747,0.00555559903098227,0.00675675675675676
"APM_Wang",0.0019072267278885,0.00553788283488959,0.00675675675675676
