"Feature","Gain","Cover","Frequency"
"TIS_Damotte",0.169177457884733,0.116387868385811,0.105882352941176
"CD39-CD8Tcell_Chow",0.122066067381385,0.0611239012296347,0.0470588235294118
"Macrophage_Danaher",0.118627990252804,0.113922331244945,0.105882352941176
"EMT3",0.0959206914890997,0.120454338408224,0.129411764705882
"CIN70_Carter",0.0693382263750391,0.0784049740812443,0.0705882352941176
"SW480-cells_Bindea",0.0531515345699924,0.0656183829143817,0.0705882352941176
"TLS_Cabrita",0.0488822128752329,0.0545556544331703,0.0588235294117647
"DNA_replication",0.0434230640240402,0.0572934393828884,0.0588235294117647
"APM_Wang",0.03784563973065,0.0339686973552023,0.0352941176470588
"Co-Inhibition-Tcell_Rooney",0.0362863288886492,0.0269138417475821,0.0235294117647059
"CD8_Tcells_Danaher",0.0352196365251016,0.0381894415418743,0.0352941176470588
"MHC-II_Liu",0.0284772531989599,0.0226608277262517,0.0235294117647059
"CD8_Rooney",0.0237064054177719,0.02363355622717,0.0235294117647059
"IFN_Ayers",0.0190048610616447,0.0181115888000529,0.0117647058823529
"EMT2",0.0181464232373678,0.0309872974788558,0.0352941176470588
"CellCycle",0.0181355545857913,0.0216514151208396,0.0235294117647059
"CIN25_Carter",0.0172421802650785,0.00994831815497306,0.0117647058823529
"IPSOV_Shen",0.0109281741163678,0.0186133258720605,0.0235294117647059
"proliferation_Pabla",0.00929325314750416,0.00931670210188797,0.0117647058823529
"PDL1_Nishino",0.00868823514793794,0.0129329856057723,0.0117647058823529
"Bcells_Rooney",0.00498092322514436,0.00997090500968461,0.0117647058823529
"IMPRES_Auslander",0.00313999174208685,0.00943095862684701,0.0117647058823529
"IRG_Ayers",0.00239176709159909,0.00901420487475469,0.0117647058823529
"ICB-resistance_Peng",0.00220838653390706,0.00903621330790162,0.0117647058823529
"PassON_Du",0.00198772541984974,0.00913655118342119,0.0117647058823529
"CCL5-CXCL9_Dangaj",0.00102326101555625,0.00939854875328345,0.0117647058823529
"Cytotoxic-cells_Bindea",0.000706754796705101,0.00932373043128559,0.0117647058823529
