"Feature","Gain","Cover","Frequency"
"TIS_Damotte",0.386619492901987,0.285751614317548,0.235294117647059
"IFN_Ayers",0.188558961105583,0.146209103525152,0.117647058823529
"EMT2",0.121719449619724,0.112217537372009,0.117647058823529
"EMT3",0.0851881720368918,0.04424069496551,0.0588235294117647
"Tcells_Bindea",0.0759409838436832,0.064611720055956,0.0588235294117647
"CD39-CD8Tcell_Chow",0.0559862265465991,0.0578547189390574,0.0588235294117647
"Bcells_Rooney",0.0245237137099851,0.0578497727020732,0.0588235294117647
"Inflammatory_Thompson",0.0215197434253453,0.0374088966192558,0.0588235294117647
"IPSOV_Shen",0.0140207820797073,0.054437959691914,0.0588235294117647
"PDL1_Nishino",0.0109559566227585,0.0509934086945765,0.0588235294117647
"APM_Thompson",0.00850229162537712,0.0476377698771487,0.0588235294117647
"T-helper-cells_Bindea",0.00646422648235766,0.0407868032397995,0.0588235294117647
