"Feature","Gain","Cover","Frequency"
"Macrophage_Danaher",0.15271818141074,0.120909040202434,0.0962962962962963
"Bcells_Rooney",0.124760671683334,0.104633784329186,0.0888888888888889
"Bcell_Helmink",0.101279039320153,0.0861420641129818,0.0666666666666667
"T-helper-cells_Bindea",0.0683851508914087,0.058270239787165,0.0555555555555556
"TLS_Cabrita",0.0663692968426659,0.0601609080969437,0.0555555555555556
"Base_excision_repair",0.0365661727640272,0.0526550757672271,0.0518518518518519
"DNA_replication",0.0335815297846219,0.0331898433711948,0.0296296296296296
"IMPRES_Auslander",0.0334479804563935,0.0369110514972881,0.0407407407407407
"Co-Inhibition-Tcell_Rooney",0.0308872828842302,0.0236471989767129,0.0259259259259259
"Cytotoxic-cells_Bindea",0.0304788791363497,0.0371361357038426,0.0407407407407407
"CD39-CD8Tcell_Chow",0.0278827660513774,0.0239802309469416,0.0259259259259259
"M1_Hwang",0.0271533858945869,0.0233547399920311,0.0222222222222222
"IPSOV_Shen",0.0259766956882928,0.0326130556681813,0.0407407407407407
"MHC-II_Liu",0.0191026151168634,0.0142740972437728,0.0111111111111111
"APM_Thompson",0.017610321442211,0.0232680683962796,0.0333333333333333
"TMEscoreB_plus",0.0143145636481915,0.0234689879730115,0.0259259259259259
"CIN70_Carter",0.0141906881626693,0.0189952113507269,0.0222222222222222
"peri-Tcell_Hwang",0.0136569069165498,0.0172498102053993,0.0185185185185185
"TMEscoreA_plus",0.0130939187086429,0.0209282102618145,0.0259259259259259
"TIS_Damotte",0.0116803810310264,0.0114520699678453,0.00740740740740741
"CIN25_Carter",0.011639709632669,0.012072485419208,0.0148148148148148
"IFN_Ayers",0.0109256949732546,0.00478591011241826,0.0037037037037037
"CYT_Davoli",0.0108576408168261,0.017328033715298,0.0185185185185185
"Cytotoxic-cells_Danaher",0.0103145577542983,0.0120972509496253,0.0148148148148148
"VIGex_Hernando-Calvo",0.00993289585937134,0.00692233937430971,0.0111111111111111
"EMT2",0.00835384704279778,0.00843595549538025,0.0148148148148148
"EMT3",0.00798166776210617,0.0136170948547199,0.0148148148148148
"Teff-IFNG_Fehrenbacher",0.00734129460735166,0.0098372024661123,0.00740740740740741
"ICB-resistance_Peng",0.00692058675606989,0.00459980609832136,0.0037037037037037
"CellCycle",0.0065636101388141,0.0082751055667967,0.0111111111111111
"Response_Chen",0.00654314985138921,0.00612420960460811,0.00740740740740741
"PassON_Du",0.00581896705264539,0.00706896798881686,0.00740740740740741
"SW480-cells_Bindea",0.00441465672822962,0.00804901690279048,0.0111111111111111
"CD8_Tcells_Danaher",0.00441260855541034,0.00593631249722347,0.00740740740740741
"Homologous_recombination",0.00400533914005037,0.00767268387309673,0.0111111111111111
"APM_Wang",0.00369961204273343,0.00568209015518576,0.00740740740740741
"TypeI-IFNReponse_Rooney",0.00333703127232011,0.00559223445148554,0.00740740740740741
"IRG_Ayers",0.00306325700378849,0.00619687570789906,0.00740740740740741
"ImmuneScore_Roh",0.00276602363772028,0.00343437676395598,0.0037037037037037
"CD8_Rooney",0.0021792918074913,0.00550706473766341,0.00740740740740741
"ImmunoScore_Hao",0.00144356025780622,0.00280415325491462,0.0037037037037037
"MHC-I_Rooney",0.00144106936210282,0.00339579865012523,0.0037037037037037
"CYT_Rooney",0.000994108739168804,0.00669087882159151,0.00740740740740741
"proliferation_Pabla",0.000964384736159737,0.00199199323239585,0.0037037037037037
"PDL1_Nishino",0.000949006635088878,0.00264233545507786,0.0037037037037037
