"Feature","Gain","Cover","Frequency"
"TMEscoreB_plus",0.080877324383396,0.0846400817200468,0.06
"Co-Inhibition-Tcell_Rooney",0.0705234853950206,0.0665829133485765,0.06375
"CIN25_Carter",0.0585626433549005,0.0576533744098344,0.0475
"PassON_Du",0.0493550710191897,0.0502439368107059,0.04125
"Bcells_Rooney",0.0360815589576127,0.0399671861101998,0.03375
"Base_excision_repair",0.0350111290027465,0.038662655101191,0.035
"Response_Chen",0.0324142696761525,0.024323195723879,0.01875
"TIS_Damotte",0.0314188632775058,0.0317922323235296,0.03
"CIN70_Carter",0.0293604455433331,0.027576461531022,0.02375
"EMT2",0.02883554708342,0.0340300534224304,0.0425
"T-helper-cells_Bindea",0.0278490264191323,0.0321284245744539,0.03
"APM_Thompson",0.0250875785865464,0.0238673344124088,0.02
"TLS_Cabrita",0.0244503229914159,0.0268200289664423,0.0275
"IRG_Ayers",0.024175891168747,0.0205073866705224,0.02
"APM_Wang",0.0224009778411565,0.0223389105101353,0.02125
"Macrophage_Danaher",0.0223154803293666,0.0247627709586399,0.02625
"TypeI-IFNReponse_Rooney",0.0204640296181491,0.0215359811505188,0.02375
"EMT3",0.0203534319829012,0.0239654513499606,0.03125
"CellCycle",0.0197377678918206,0.0183763349669239,0.0225
"SW480-cells_Bindea",0.019168516884005,0.0201745486087526,0.02375
"peri-Tcell_Hwang",0.019112719800903,0.0175771326546341,0.02
"MHC-I_Rooney",0.0184190044987882,0.0167206559514147,0.01875
"MHC-II_Liu",0.0165021304922465,0.0146786329592187,0.015
"ImmunoScore_Hao",0.0156106262864861,0.0108376483072558,0.00875
"PDL1_Nishino",0.015241724713245,0.0142513328906227,0.01875
"TMEscoreA_plus",0.0148240035036835,0.0157539528592217,0.0175
"Bcell_Helmink",0.0139196810724819,0.0174688396043316,0.01875
"MHC-I_Liu",0.013145610946541,0.0129221763638914,0.0125
"ImmuneScore_Roh",0.0124637891375825,0.00995080591173591,0.01
"Co-Stimulation-Tcell_Rooney",0.0124315973815043,0.0115152075588408,0.015
"Homologous_recombination",0.0120155457073119,0.012939323236628,0.01125
"CD8_Tcells_Danaher",0.0117533940525715,0.0103549020802908,0.01125
"IFN_Ayers",0.0115486380826752,0.0113927796546994,0.01625
"IMPRES_Auslander",0.0104371202568409,0.0129676328385958,0.01625
"CYT_Davoli",0.0102928057925324,0.00780389622784813,0.01
"proliferation_Pabla",0.0101557369387175,0.0105959786717906,0.01375
"CD39-CD8Tcell_Chow",0.00988870729954845,0.00784588266651729,0.00875
"Teff-IFNG_Fehrenbacher",0.0094530909199436,0.0100757571297221,0.01125
"IPSOV_Shen",0.0094446065661086,0.0101466139920132,0.01125
"DNA_replication",0.00885005387952874,0.0133355379813071,0.01625
"ICB-resistance_Peng",0.00869904483790281,0.00756937994546558,0.00875
"M1_Hwang",0.00832169351259608,0.0082410601596555,0.00875
"Cytotoxic-cells_Bindea",0.00815032132973079,0.00692207053930029,0.00875
"Cytotoxic-cells_Danaher",0.00779269214788695,0.00740708613760999,0.0075
"CD8_Rooney",0.00770303809855859,0.00337626335571428,0.005
"VIGex_Hernando-Calvo",0.00752666769011636,0.00796032941105786,0.00875
"Tcells_Danaher",0.00526911504347191,0.0051600199205923,0.00625
"STAT1_Care",0.00487672189652369,0.00476710604481468,0.0075
"CYT_Rooney",0.00299349205532704,0.00367840199410351,0.00625
"CCL5-CXCL9_Dangaj",0.0024514549065522,0.00278517900557102,0.005
"Inflammatory_Thompson",0.00226180974557496,0.0030491512753615,0.00375
