"Feature","Gain","Cover","Frequency"
"TMEscoreB_plus",0.103473027442836,0.0672840276878465,0.05
"Homologous_recombination",0.0882940661760459,0.0782564306055736,0.06
"TMEscoreA_plus",0.0845913417127082,0.0706859512884763,0.06
"EMT2",0.0615517759390525,0.050270160516048,0.05
"MHC-I_Rooney",0.0494766791866275,0.0538778819423005,0.05
"APM_Wang",0.0490806944944699,0.0739060421880937,0.06
"Base_excision_repair",0.0415490213058696,0.0373983139120391,0.05
"TypeI-IFNReponse_Rooney",0.0367399480294621,0.0455588492993596,0.05
"IFN_Ayers",0.0340821103968235,0.0285256766291646,0.04
"IMPRES_Auslander",0.0339870975168323,0.0411754983408871,0.04
"Bcells_Rooney",0.0316106949564318,0.0287005035658399,0.03
"ImmuneScore_Roh",0.031330269087039,0.0132458457416458,0.02
"Macrophage_Danaher",0.0295194533636224,0.0137274547255031,0.02
"EMT3",0.0285574791727395,0.0146085077177697,0.02
"CIN70_Carter",0.0274411555618508,0.0189522693445159,0.02
"CIN25_Carter",0.027154488435468,0.0405964033533485,0.04
"Cytotoxic-cells_Danaher",0.0264317539342254,0.0327486972658486,0.03
"Teff-IFNG_Fehrenbacher",0.0258425706095038,0.0349288892618637,0.03
"CD8_Rooney",0.0239353913053183,0.0312017666629964,0.03
"CYT_Rooney",0.0214419186663772,0.0372855313676495,0.03
"CD39-CD8Tcell_Chow",0.0158056915246404,0.0201814381603395,0.03
"STAT1_Care",0.0155888938558468,0.00706627476092909,0.01
"Bcell_Helmink",0.0147135887820376,0.0148813838712047,0.02
"Tcells_Bindea",0.0146899515184273,0.0206074511335329,0.02
"DNA_replication",0.0134929299072993,0.0144767310163748,0.01
"T-helper-cells_Bindea",0.0121652216246959,0.016648457325125,0.02
"CD8_Tcells_Danaher",0.0119256404371232,0.00710288885835009,0.01
"Co-Inhibition-Tcell_Rooney",0.00925549040234794,0.00950894504077285,0.01
"CYT_Davoli",0.0091648494604402,0.00792441734127588,0.01
"M1_Hwang",0.00645367762364854,0.00950429649224919,0.01
"Co-Stimulation-Tcell_Rooney",0.00643343495142683,0.0109683251617539,0.01
"Cytotoxic-cells_Bindea",0.00524721767227463,0.0156800666592413,0.02
"PassON_Du",0.00458250628196517,0.0073022528782586,0.01
"CellCycle",0.00229734451478479,0.0188146424567562,0.02
"proliferation_Pabla",0.00209262414973764,0.00639772742706626,0.01
