"Feature","Gain","Cover","Frequency"
"Co-Stimulation-Tcell_Rooney",0.114263484549146,0.106390054192159,0.0952380952380952
"APM_Wang",0.10261637349472,0.0690542429790322,0.0634920634920635
"EMT2",0.0733745708838834,0.0740483132417284,0.0714285714285714
"M1_Hwang",0.0677294707085332,0.071189220779753,0.0714285714285714
"APM_Thompson",0.0626520907059125,0.0686399475305069,0.0634920634920635
"MHC-II_Liu",0.0520837319962581,0.0347193155930474,0.0317460317460317
"IPSOV_Shen",0.0467095208803833,0.0517281019186306,0.0555555555555556
"Macrophage_Danaher",0.0466521112648484,0.0367366555211521,0.0317460317460317
"Homologous_recombination",0.0453428184393773,0.0491018295202309,0.0476190476190476
"CellCycle",0.044922457172962,0.0342367588314497,0.0238095238095238
"T-helper-cells_Bindea",0.0355410801492711,0.0510100932766299,0.0634920634920635
"MHC-I_Liu",0.0336281977387428,0.0168662049048318,0.0158730158730159
"IMPRES_Auslander",0.0303967497519491,0.0276584037612047,0.0238095238095238
"Bcells_Rooney",0.0247656257098834,0.0378405788750289,0.0396825396825397
"proliferation_Pabla",0.0208923605914699,0.0218331669436705,0.0238095238095238
"Co-Inhibition-Tcell_Rooney",0.0198980874392114,0.0123571981390625,0.00793650793650794
"CD39-CD8Tcell_Chow",0.0195092517214598,0.0150640319566278,0.0158730158730159
"EMT3",0.0191760834348248,0.0138470630079935,0.0158730158730159
"MHC-I_Rooney",0.0123587792147159,0.0101349121763299,0.00793650793650794
"CD8_Rooney",0.0121403244941194,0.0136816401740799,0.0158730158730159
"CYT_Rooney",0.0111690618353204,0.0131928357192865,0.0158730158730159
"Response_Chen",0.0110545853713033,0.0141088483727708,0.0158730158730159
"CIN25_Carter",0.0109070486384731,0.0147742194018846,0.0158730158730159
"Bcell_Helmink",0.01067632259967,0.0213986261612392,0.0238095238095238
"TMEscoreA_plus",0.010581391589245,0.00607168693537677,0.00793650793650794
"PDL1_Nishino",0.0100441184087013,0.0116492202674039,0.00793650793650794
"DNA_replication",0.0096688264996245,0.0144027911696348,0.0158730158730159
"TMEscoreB_plus",0.00964985125062201,0.0118960954070716,0.0158730158730159
"Base_excision_repair",0.00729158106873792,0.019113725421634,0.0238095238095238
"CIN70_Carter",0.00623034270290187,0.0126655406243091,0.0158730158730159
"CCL5-CXCL9_Dangaj",0.00388327688012794,0.00841245826169211,0.00793650793650794
"SW480-cells_Bindea",0.00349601131896927,0.00667943559863623,0.00793650793650794
"ICB-resistance_Peng",0.00345855693117215,0.00766664323685993,0.00793650793650794
"Tcells_Danaher",0.00337379005916818,0.00545882716130998,0.00793650793650794
"ImmuneScore_Roh",0.00175677456848344,0.00537796835450096,0.00793650793650794
"TIS_Damotte",0.00153265017801462,0.00554679072484495,0.00793650793650794
"IFN_Ayers",0.000572639757793127,0.00544655385839491,0.00793650793650794
