"Feature","Gain","Cover","Frequency"
"TMEscoreA_plus",0.121814254242732,0.0966655834787246,0.079646017699115
"STAT1_Care",0.0682588714712228,0.0379131103248075,0.0309734513274336
"Homologous_recombination",0.0578924562947675,0.050532408349461,0.0486725663716814
"Bcells_Rooney",0.0540196584929179,0.0417382844294608,0.0309734513274336
"DNA_replication",0.0487661867311869,0.042768099647315,0.0398230088495575
"Response_Chen",0.0465781960992965,0.0275479508485168,0.0265486725663717
"IMPRES_Auslander",0.044344442969901,0.0500172284129837,0.0530973451327434
"CYT_Rooney",0.0397009950341337,0.0333861211359638,0.0309734513274336
"APM_Thompson",0.0356005942363181,0.0529940285968321,0.0486725663716814
"ICB-resistance_Peng",0.0355641083933512,0.0206429361565973,0.0221238938053097
"IPSOV_Shen",0.0345153888638498,0.0338746644939532,0.0221238938053097
"Base_excision_repair",0.0304608409111015,0.0274125721618672,0.0265486725663717
"EMT2",0.0284642705337094,0.0314916806667434,0.0353982300884956
"M1_Hwang",0.0264832574236515,0.0245156792600808,0.0221238938053097
"Bcell_Helmink",0.0239178325643129,0.0343201432979963,0.0398230088495575
"T-helper-cells_Bindea",0.0238575940557832,0.0394674382178851,0.0486725663716814
"MHC-I_Rooney",0.0233810572958447,0.00826457011834698,0.00442477876106195
"TMEscoreB_plus",0.0225448483477551,0.0270918905244389,0.0353982300884956
"IRG_Ayers",0.0208306563617792,0.00925548543105124,0.00442477876106195
"TLS_Cabrita",0.0188856758996581,0.0159417370711918,0.0221238938053097
"TypeI-IFNReponse_Rooney",0.0174844085244557,0.0243866892305539,0.0265486725663717
"PassON_Du",0.0170211266262324,0.0289691866250057,0.0353982300884956
"CIN70_Carter",0.0162018811615671,0.0169380351464642,0.0132743362831858
"proliferation_Pabla",0.0148217944608405,0.0176898100691032,0.0176991150442478
"Macrophage_Danaher",0.0135544440311934,0.0129289319957899,0.00884955752212389
"CIN25_Carter",0.0132540995898556,0.016800706005739,0.0176991150442478
"Tcells_Danaher",0.0105951635463557,0.0124588553897832,0.0132743362831858
"CellCycle",0.0100112071779331,0.00972749838407563,0.00884955752212389
"APM_Wang",0.00886463176657885,0.0146943529946672,0.0176991150442478
"MHC-II_Liu",0.00835458261852504,0.0193457983273378,0.0265486725663717
"PDL1_Nishino",0.00740012619805786,0.0118998846925592,0.0176991150442478
"peri-Tcell_Hwang",0.00721997243029565,0.0074555401683368,0.00884955752212389
"EMT3",0.00652085643601862,0.0136625652421253,0.0176991150442478
"Cytotoxic-cells_Danaher",0.00631804437397205,0.00886250144240449,0.00884955752212389
"IFN_Ayers",0.00576106549619748,0.0130494602440508,0.0176991150442478
"ImmuneScore_Roh",0.00506694193334486,0.00719356965198268,0.00884955752212389
"CYT_Davoli",0.00460792349286823,0.00422246381267429,0.00442477876106195
"SW480-cells_Bindea",0.00448305478281269,0.0151466277204577,0.0176991150442478
"CD39-CD8Tcell_Chow",0.00348633573996409,0.00745989311568708,0.00884955752212389
"Teff-IFNG_Fehrenbacher",0.00298644959975083,0.00308155183470982,0.00442477876106195
"Co-Stimulation-Tcell_Rooney",0.00294624602745776,0.00904147339099207,0.00884955752212389
"MHC-I_Liu",0.00259993252785761,0.00590042902687725,0.00442477876106195
"Tcells_Bindea",0.0020001394704062,0.00435840310153307,0.00442477876106195
"VIGex_Hernando-Calvo",0.00192226825074311,0.00419051868700931,0.00442477876106195
"CD8_Tcells_Danaher",0.000636117513442151,0.00469364107586288,0.00442477876106195
