"Feature","Gain","Cover","Frequency"
"APM_Thompson",0.250491935487597,0.200727321867928,0.166666666666667
"CellCycle",0.0854777141985347,0.0875525201254118,0.0862068965517241
"Tcell-inflamed_Ayers",0.06048255748925,0.0520542049096041,0.0517241379310345
"Homologous_recombination",0.0479012095972982,0.0409682330102985,0.0459770114942529
"TLS_Cabrita",0.0405639251854483,0.0595714325302483,0.0574712643678161
"CD8_Tcells_Danaher",0.031607306794771,0.0165859091302291,0.0201149425287356
"Co-Inhibition-Tcell_Rooney",0.0307431516853518,0.0207588518692121,0.0258620689655172
"Base_excision_repair",0.0260282311145695,0.0288725772958441,0.0229885057471264
"EMT3",0.0254853919824683,0.0305623519242786,0.028735632183908
"CYT_Rooney",0.0249694695200058,0.0251783791779798,0.0229885057471264
"TypeI-IFNReponse_Rooney",0.024793307595584,0.0236684788442262,0.0258620689655172
"TMEscoreB_plus",0.0229879334535824,0.0375555703152471,0.0373563218390805
"Macrophage_Danaher",0.0225323356098447,0.0271538512049354,0.0258620689655172
"CIN70_Carter",0.0211574091367117,0.0198611854068638,0.0172413793103448
"proliferation_Pabla",0.0184784715341471,0.0252707470590322,0.0201149425287356
"MHC-I_Rooney",0.0183407061400413,0.0205531588356692,0.0172413793103448
"SW480-cells_Bindea",0.0180441081352054,0.0208309307432334,0.0229885057471264
"TIS_Damotte",0.015408086934241,0.0193744990565877,0.0172413793103448
"CIN25_Carter",0.014939024867368,0.0173331424045714,0.0201149425287356
"APM_Wang",0.0144309491746729,0.014496875872329,0.0172413793103448
"Cytotoxic-cells_Bindea",0.0136408855665511,0.0123617461103672,0.014367816091954
"IMPRES_Auslander",0.0125554404796582,0.0181798121735712,0.0172413793103448
"TMEscoreA_plus",0.012342581392889,0.0101634616146742,0.0114942528735632
"IRG_Ayers",0.0122753250486875,0.0109246116514271,0.0114942528735632
"CD39-CD8Tcell_Chow",0.0109016221675984,0.00564012473893369,0.00574712643678161
"T-helper-cells_Bindea",0.0103714805999023,0.0134012132834948,0.014367816091954
"CCL5-CXCL9_Dangaj",0.0090408595820902,0.00509358875328291,0.00862068965517241
"ICB-resistance_Peng",0.00858418712070094,0.0129696481295048,0.014367816091954
"STAT1_Care",0.00839169336330098,0.00540832130346544,0.00574712643678161
"Bcell_Helmink",0.00822561871284629,0.0148515094285203,0.014367816091954
"PDL1_Nishino",0.00763188156694329,0.0164787882194381,0.0172413793103448
"Tcells_Danaher",0.00756271505306407,0.0133260966168798,0.014367816091954
"CD8_Rooney",0.00729316443847987,0.00506431814771356,0.00862068965517241
"DNA_replication",0.00607329793208038,0.00466048409297225,0.00574712643678161
"IPSOV_Shen",0.00599793455454876,0.00660769103369978,0.0114942528735632
"Teff-IFNG_Fehrenbacher",0.0059829264149847,0.00359830904547893,0.00574712643678161
"ImmunoScore_Hao",0.0048537178922494,0.00192278031528911,0.0028735632183908
"EMT2",0.00458804149511112,0.00757274602829744,0.00862068965517241
"M1_Hwang",0.00444087304934581,0.00313004181098687,0.00574712643678161
"Bcells_Rooney",0.00398299848826572,0.00524180355327639,0.00862068965517241
"Tcells_Bindea",0.00360384629452198,0.00169141187623153,0.0028735632183908
"Cytotoxic-cells_Danaher",0.00308574692167151,0.0028333776939113,0.0028735632183908
"Response_Chen",0.00273679501692776,0.00304108520114063,0.0028735632183908
"peri-Tcell_Hwang",0.00231929678517688,0.00163175553789793,0.0028735632183908
"CYT_Davoli",0.00169530193919388,0.00215387973108193,0.0028735632183908
"IFN_Ayers",0.00169008739384138,0.00144730706703344,0.0028735632183908
"ImmuneScore_Roh",0.00163220833991737,0.00142797939270175,0.0028735632183908
"VIGex_Hernando-Calvo",0.00124162471689468,0.00794298449520965,0.00862068965517241
"PassON_Du",0.00121353995258941,0.00297482865883286,0.0028735632183908
"MHC-I_Liu",0.000975310615144514,0.00368788114558034,0.0028735632183908
"MHC-II_Liu",0.000205771468129126,0.00564019156537438,0.00862068965517241
