Study,Sample Size,num_selected_signature,num of missing selected signature
ICB_Gide__Melanoma__PD-(L)1,38,62,0
ICB_Hugo__Melanoma__PD-(L)1,27,62,0
ICB_Hwang__Lung__PD-(L)1,16,24,38
ICB_Jung__Lung__PD-(L)1,27,62,0
ICB_Kim__Gastric__PD-(L)1,31,62,0
ICB_Limagne1__Lung__PD-(L)1,69,17,45
ICB_Limagne2__Lung__PD-(L)1,22,61,1
ICB_Liu__Melanoma__IO+combo,43,59,3
ICB_Liu__Melanoma__PD-(L)1,69,57,5
ICB_Mariathasan__Bladder__PD-(L)1,133,60,2
ICB_Mariathasan__Kidney__PD-(L)1,46,60,2
ICB_Mariathasan__Ureteral__PD-(L)1,18,60,2
ICB_Miao1__Kidney__PD-(L)1,28,59,3
ICB_Nathanson__Melanoma__CTLA4,24,61,1
ICB_Padron__Pancreas__PD-(L)1,23,62,0
ICB_Puch__Melanoma__PD-(L)1,49,54,8
ICB_Riaz__Melanoma__PD-(L)1,16,61,1
ICB_Snyder__Ureteral__PD-(L)1,18,61,1
ICB_Van_Allen__Melanoma__CTLA4,39,60,2
ICB_Shiuan__Kidney__PD-(L)1 ,13,0,62
ICB_Riaz__Melanoma__IO+combo,14,0,62
